aghast,furious,4.6
aghast,mad,6.266666667
alarmed,distressed,7.733333333
alarmed,repelled,5.416666667
amazed,infuriated,0.571428571
amazed,perplexed,6
amused,disdainful,0.666666667
amused,irate,0.466666667
angry,confused,3.111111111
angry,perplexed,2.8
annoyed,discouraged,5.571428571
annoyed,discouraged,5.533333333
anxious,apprehensive,8.928571429
anxious,repulsed,3.2
appalled,alarmed,6.692307692
appalled,miffed,7.066666667
apprehensive,anxious,8.642857143
apprehensive,terrified,6.2
astonished,appalled,4.4
astonished,saddened,3.133333333
astounded,disgusted,2.733333333
astounded,surprised,9.142857143
awed,awed,10
awed,dejected,0.785714286
bewildered,appalled,5.466666667
bewildered,sorrowful,2.666666667
bored,confused,1.933333333
bored,joyful,0.4
bothered,cheerful,0.571428571
bothered,enraged,6.071428571
cheerful,outraged,0.214285714
cheerful,satisfied,6.533333333
concerned,frightened,5.2
concerned,sad,4.2
confused,elated,1.333333333
confused,startled,6.214285714
dejected,stunned,3.692307692
dejected,suspicious,3
delighted,uncertain,1.666666667
delighted,upset,0
depressed,angry,3.666666667
depressed,happy,0
disappointed,awed,0.461538462
disappointed,terrified,2.933333333
disbelieving,concerned,4.733333333
disbelieving,upset,3.933333333
discouraged,bothered,6
discouraged,bothered,5.933333333
disdainful,excited,0.571428571
disdainful,happy,0
disgusted,frightened,4.333333333
disgusted,repelled,9.083333333
dismayed,aghast,6.714285714
dismayed,cheerful,0.266666667
displeased,doubtful,3.133333333
displeased,miffed,8.461538462
dissatisfied,disappointed,8.6
dissatisfied,distressed,6.25
distressed,frustrated,7.2
distressed,pissed,7.333333333
doubtful,irritated,3.285714286
doubtful,rejected,5.2
elated,apprehensive,1.307692308
elated,astounded,5
enraged,hurt,5.2
enraged,mournful,2.6
excited,incensed,2.533333333
excited,repulsed,1.214285714
fearful,amazed,1.2
fearful,pissed,3
frightened,excited,2.133333333
frightened,sorrowful,4.333333333
frustrated,frustrated,10
frustrated,stupefied,4.8
furious,infuriated,10
furious,joyful,0
happy,delighted,9.533333333
happy,depressed,0
hostile,rejected,4.466666667
hostile,revolted,6.714285714
hurt,annoyed,4.733333333
hurt,bored,1.2
incensed,amazed,1.933333333
incensed,revolted,7
infuriated,astonished,2.266666667
infuriated,mournful,3.066666667
interested,amused,6.857142857
interested,neutral,1.4
irate,skeptical,2.866666667
irate,stunned,3.666666667
irritated,dismayed,6.538461538
irritated,satisfied,0
joyful,annoyed,0.333333333
joyful,stupefied,1.615384615
mad,disappointed,6.133333333
mad,displeased,8.4
miffed,concerned,3.5
miffed,fearful,1.833333333
mournful,doubtful,3.2
mournful,mad,3.333333333
neutral,bored,5.571428571
neutral,disbelieving,1.2
offended,elated,0.357142857
offended,surprised,1.769230769
outraged,hostile,7.466666667
outraged,interested,1.266666667
perplexed,dissatisfied,3.866666667
perplexed,irritated,3.533333333
pissed,displeased,8
pissed,fearful,4.066666667
pleased,enraged,0
pleased,scared,0.533333333
rejected,offended,5.8
rejected,worried,4.2
repelled,aghast,5.4
repelled,disbelieving,4.642857143
repulsed,alarmed,4.666666667
repulsed,hurt,5.266666667
resentful,bewildered,2.666666667
resentful,scornful,7.866666667
revolted,irate,6.466666667
revolted,shocked,7.357142857
sad,bewildered,3.357142857
sad,dissatisfied,6.533333333
saddened,astounded,2.6
saddened,uncertain,3.533333333
satisfied,delighted,7.6
satisfied,skeptical,0.866666667
scared,interested,0.785714286
scared,resentful,2.6
scornful,depressed,4.866666667
scornful,neutral,0.384615385
shocked,angry,4.857142857
shocked,outraged,7.133333333
skeptical,disgusted,2.5
skeptical,scornful,3.266666667
sorrowful,pleased,0.214285714
sorrowful,suspicious,2.8
startled,resentful,1.8
startled,shocked,8.8
stunned,anxious,4.066666667
stunned,worried,4.466666667
stupefied,furious,3.2
stupefied,pleased,1.066666667
surprised,dismayed,3.866666667
surprised,incensed,3.214285714
suspicious,amused,0.8
suspicious,disdainful,4.266666667
terrified,hostile,5.461538462
terrified,saddened,3.5
uncertain,offended,2.266666667
uncertain,startled,4.466666667
upset,sad,8.615384615
upset,scared,5.533333333
worried,astonished,2.727272727
worried,dejected,5.066666667
